SORU_ID,SORU,DOĞRU CEVAP,AKADEMİK SEVİYE,SORU TÜRÜ,KRİTİK ANAHTAR,KAVRAMLAR
guz_ara_sinav_2024_cikmis_sorular_2,Aşağıdakilerden hangisi Sanayi Devriminin ortaya çıkardığı değişimlerin yarattığı yeni toplumsal yapının özelliklerinden biri değildir?  A)Fabrikalarda emeği ile geçinen işçi sınıfının ortaya çıkması  B)Liberalizmin getirdiği zenginliklerin dağılımının adaletsiz olması,D,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_3,"Çalışma hayatına ilişkin sorunlara çözüm bulunması, ücretlilerin durumunu yakından etkileyen ekonomik sorunlarla uğraşılması, emeğin ticari bir mal olmadığı, dernek kurma ve ifade özgürlüğünün ilerlemenin vazgeçilmez bir şartı olduğu, yoksulluğun herkesin refahını tehdit eden bir tehlike olduğu ve her ulusun sorunlarının sosyal diyalog içerisinde üçlü katılım yolu ile çözülmesi gerektiğine işaret eden ve 1944 yılında kabul edilen belge aşağıdakilerden hangisidir?",C,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_4,Üretim faktörü olarak insanı ele alarak işgücü piyasasında istihdam ve ücret konularını inceleyen bilim dalı aşağıdakilerden hangisidir?,C,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_5,İktisadi faaliyetin emek unsurunun tutsaklar ve köleler tarafından yerine getirildiği toplum düzenine ne ad verilir?,B,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_6,"Mülkiyet ve egemenliğin birbirine katıldığı, siyasal iktidar ile ekonomik iktidarın aynı kişide birleştiği ve dönemin üretim yapısı kadar yönetim yapısını da ifade eden kavram aşağıdakilerden hangisidir?",A,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_7,"Aşağıdakilerden hangisi, sosyal politikanın doğrudan hedeflerinden biri değildir?",E,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_8,"Mevcut düzenlemelerin yetersizliği nedeni ile maden ocaklarında çalışan işçilerin çalışma şartlarına yönelik olarak 1921 yılında çıkarılan, işçilerin çalışma hürriyeti, günlük mesai, asgari ücret, sosyal güvenlik, iş teftişi ve ceza-i müeyyideler konusunda önemli hükümler getiren düzenleme aşağıdakilerden hangisidir?",C,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_9,"""İşgücü piyasasından nitelikli işçi sağlanması, istihdam şartlarının işletmenin yararına olarak nasıl geliştirilebileceğini ve işletmedeki personelin nasıl motive edileceği"" sosyal politika ile ilişkili sosyal bilim dallarından hangisinin bir amacıdır?",D,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_10,"Aşağıdakilerden hangisinin kurulması, Türkiye'de sendikacılık hareketinin başlangıcı kabul edilir?",B,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_11,"İşçi statüsünde çalışanların iş ilişkileri ve çalışma yaşamında korunması amacıyla, devletçe alınan karar ve sürdürülen uygulamaları inceleyen bilim dalı aşağıdakilerden hangisidir?",C,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_12,"Aksak rekabet koşullarının görüldüğü piyasalarda faaliyet gösteren firmalar, üretimlerini suni olarak azaltarak fiyatlarını yükseltmek suretiyle aşırı kâr elde edebilmektedirler. Bu durum gelir dağılımını etkileyen faktörlerden hangisine örnek olabilir?",A,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_13,Aşağıdakilerden hangisi gelir dağılımı türlerinden biri değildir?,B,-,-,-,-
guz_ara_sinav_2024_cikmis_sorular_14,Belirli bir dönemde belirli bir kitle tarafından tüketici mal ve hizmetlerine ödenen perakende fiyatlardaki değişikliklerin ölçüsüne ne ad verilir?,D,-,-,-,-
